desc,zip,title,address,towns,dt,date,time
BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06,19001,Fire: FIRE ALARM,BRADFIELD RD & SUSQUEHANNA RD, ABINGTON, 2020-01-01 @ 00:04:06, 2020-01-01 , 00:04:06
KING ST & VANBUSKIRK ALY; POTTSTOWN; 2020-01-24 @ 13:47:12,19464,Fire: BURN VICTIM,KING ST & VANBUSKIRK ALY, POTTSTOWN, 2020-01-24 @ 13:47:12, 2020-01-24 , 13:47:12
EASTON RD & LAWNTON RD;  UPPER MORELAND; 2020-01-24 @ 13:55:49,19090,EMS: FEVER,EASTON RD & LAWNTON RD,  UPPER MORELAND, 2020-01-24 @ 13:55:49, 2020-01-24 , 13:55:49
MORELAND RD & PARK AVE; ABINGTON; 2020-01-24 @ 13:54:51,19090,Fire: FIRE ALARM,MORELAND RD & PARK AVE, ABINGTON, 2020-01-24 @ 13:54:51, 2020-01-24 , 13:54:51
CITY AVE & HAVERFORD RD; LOWER MERION; 2020-01-24 @ 13:58:50,19003,Fire: VEHICLE ACCIDENT,CITY AVE & HAVERFORD RD, LOWER MERION, 2020-01-24 @ 13:58:50, 2020-01-24 , 13:58:50
CITY AVE & HAVERFORD RD; LOWER MERION; 2020-01-24 @ 13:58:53,19003,Traffic: VEHICLE ACCIDENT,CITY AVE & HAVERFORD RD, LOWER MERION, 2020-01-24 @ 13:58:53, 2020-01-24 , 13:58:53
SCHUYLKILL RD & RAMP RT724 TO RT100 SB;  CHESTER COUNTY; 2020-01-24 @ 14:01:06,NA,EMS: SYNCOPAL EPISODE,SCHUYLKILL RD & RAMP RT724 TO RT100 SB,  CHESTER COUNTY, 2020-01-24 @ 14:01:06, 2020-01-24 , 14:01:06
MAIN ST & CLEMENS RD;  LOWER SALFORD; 2020-01-24 @ 14:04:23,19438,EMS: GENERAL WEAKNESS,MAIN ST & CLEMENS RD,  LOWER SALFORD, 2020-01-24 @ 14:04:23, 2020-01-24 , 14:04:23
RT422  & RAMP RT422 WB TO EGYPT RD; LOWER PROVIDENCE; 2020-01-24 @ 14:03:18,NA,Traffic: ROAD OBSTRUCTION,RT422  & RAMP RT422 WB TO EGYPT RD, LOWER PROVIDENCE, 2020-01-24 @ 14:03:18, 2020-01-24 , 14:03:18
YORK RD & CHERRY ST;  UPPER MORELAND; 2020-01-24 @ 14:06:21,19090,EMS: VEHICLE ACCIDENT,YORK RD & CHERRY ST,  UPPER MORELAND, 2020-01-24 @ 14:06:21, 2020-01-24 , 14:06:21
YORK RD & CHERRY ST; UPPER MORELAND; 2020-01-24 @ 14:06:38,19090,Traffic: VEHICLE ACCIDENT,YORK RD & CHERRY ST, UPPER MORELAND, 2020-01-24 @ 14:06:38, 2020-01-24 , 14:06:38
ROSS RD;  UPPER MERION; 2020-01-24 @ 13:24:39,19406,EMS: DIZZINESS,ROSS RD,  UPPER MERION, 2020-01-24 @ 13:24:39, 2020-01-24 , 13:24:39
HILLSIDE DR & QUEEN ST;  POTTSTOWN; 2020-01-24 @ 14:18:37,19464,EMS: GENERAL WEAKNESS,HILLSIDE DR & QUEEN ST,  POTTSTOWN, 2020-01-24 @ 14:18:37, 2020-01-24 , 14:18:37
DIXON LN & FLEETWOOD RD;  ABINGTON; 2020-01-24 @ 14:19:29,19046,EMS: UNCONSCIOUS SUBJECT,DIXON LN & FLEETWOOD RD,  ABINGTON, 2020-01-24 @ 14:19:29, 2020-01-24 , 14:19:29
E HOFFECKER RD & S KEIM ST; CHESTER COUNTY; 2020-01-24 @ 14:17:12,NA,Traffic: VEHICLE ACCIDENT,E HOFFECKER RD & S KEIM ST, CHESTER COUNTY, 2020-01-24 @ 14:17:12, 2020-01-24 , 14:17:12
MORELAND RD & EASTON RD; ABINGTON; 2020-01-24 @ 14:17:59,19090,Traffic: VEHICLE ACCIDENT,MORELAND RD & EASTON RD, ABINGTON, 2020-01-24 @ 14:17:59, 2020-01-24 , 14:17:59
LANCASTER AVE & N BRYN MAWR AVE;  LOWER MERION; 2020-01-24 @ 14:27:11,19010,EMS: OVERDOSE,LANCASTER AVE & N BRYN MAWR AVE,  LOWER MERION, 2020-01-24 @ 14:27:11, 2020-01-24 , 14:27:11
READING AVE & UNGER LN;  BERKS COUNTY; 2020-01-24 @ 14:28:49,19512,EMS: VEHICLE ACCIDENT,READING AVE & UNGER LN,  BERKS COUNTY, 2020-01-24 @ 14:28:49, 2020-01-24 , 14:28:49
GEHRINGER RD & JOY CIR;  BERKS COUNTY; 2020-01-24 @ 14:27:40,19504,EMS: CARDIAC EMERGENCY,GEHRINGER RD & JOY CIR,  BERKS COUNTY, 2020-01-24 @ 14:27:40, 2020-01-24 , 14:27:40
THE FAIRWAY  & RYDAL RD;  ABINGTON; 2020-01-24 @ 14:35:24,19046,EMS: ALTERED MENTAL STATUS,THE FAIRWAY  & RYDAL RD,  ABINGTON, 2020-01-24 @ 14:35:24, 2020-01-24 , 14:35:24
GERMANTOWN PIKE & SWEDE RD;  EAST NORRITON; 2020-01-24 @ 14:34:15,19401,EMS: HEMORRHAGING,GERMANTOWN PIKE & SWEDE RD,  EAST NORRITON, 2020-01-24 @ 14:34:15, 2020-01-24 , 14:34:15
CRESTVIEW RD & CLAYTON RD;  HORSHAM; 2020-01-24 @ 14:37:49,19040,EMS: DEHYDRATION,CRESTVIEW RD & CLAYTON RD,  HORSHAM, 2020-01-24 @ 14:37:49, 2020-01-24 , 14:37:49
COWPATH RD & HIGH ST;  HATFIELD TOWNSHIP; 2020-01-24 @ 14:36:34,19440,EMS: RESPIRATORY EMERGENCY,COWPATH RD & HIGH ST,  HATFIELD TOWNSHIP, 2020-01-24 @ 14:36:34, 2020-01-24 , 14:36:34
DEKALB PIKE & BLUE BELL SPRINGS DR; WHITPAIN; 2020-01-24 @ 14:42:53,19422,Traffic: DISABLED VEHICLE,DEKALB PIKE & BLUE BELL SPRINGS DR, WHITPAIN, 2020-01-24 @ 14:42:53, 2020-01-24 , 14:42:53
BUTTONWOOD DR & BRIDLE PATH DR;  TOWAMENCIN; 2020-01-24 @ 14:49:42,19446,EMS: GENERAL WEAKNESS,BUTTONWOOD DR & BRIDLE PATH DR,  TOWAMENCIN, 2020-01-24 @ 14:49:42, 2020-01-24 , 14:49:42
RAMP I76 EB TO S GULPH RD & SCHUYLKILL EXPY EB; UPPER MERION; 2020-01-24 @ 14:49:44,NA,Traffic: VEHICLE ACCIDENT,RAMP I76 EB TO S GULPH RD & SCHUYLKILL EXPY EB, UPPER MERION, 2020-01-24 @ 14:49:44, 2020-01-24 , 14:49:44
RAMP I76 EB TO S GULPH RD & SCHUYLKILL EXPY EB; UPPER MERION; 2020-01-24 @ 14:50:54,NA,Traffic: VEHICLE ACCIDENT,RAMP I76 EB TO S GULPH RD & SCHUYLKILL EXPY EB, UPPER MERION, 2020-01-24 @ 14:50:54, 2020-01-24 , 14:50:54
SPLITRAIL LN & W BUTLER PIKE;  WHITPAIN; 2020-01-24 @ 14:54:14,19422,EMS: ANIMAL BITE,SPLITRAIL LN & W BUTLER PIKE,  WHITPAIN, 2020-01-24 @ 14:54:14, 2020-01-24 , 14:54:14
GERMANTOWN PIKE & HANNAH AVE; EAST NORRITON; 2020-01-24 @ 14:52:54,19401,Traffic: VEHICLE ACCIDENT,GERMANTOWN PIKE & HANNAH AVE, EAST NORRITON, 2020-01-24 @ 14:52:54, 2020-01-24 , 14:52:54
DAVISVILLE RD & PENNYPACK RD;  UPPER MORELAND; 2020-01-24 @ 15:00:00,19040,EMS: DIABETIC EMERGENCY,DAVISVILLE RD & PENNYPACK RD,  UPPER MORELAND, 2020-01-24 @ 15:00:00, 2020-01-24 , 15:00:00
YORK RD & LAKEVUE DR;  UPPER MORELAND; 2020-01-24 @ 15:03:23,19090,EMS: FALL VICTIM,YORK RD & LAKEVUE DR,  UPPER MORELAND, 2020-01-24 @ 15:03:23, 2020-01-24 , 15:03:23
JOHNSON HWY & DEKALB ST;  EAST NORRITON; 2020-01-24 @ 15:04:54,19401,EMS: GENERAL WEAKNESS,JOHNSON HWY & DEKALB ST,  EAST NORRITON, 2020-01-24 @ 15:04:54, 2020-01-24 , 15:04:54
HUNTER HILL DR & ARCHER LN;  TOWAMENCIN; 2020-01-24 @ 15:02:25,19446,EMS: HEAD INJURY,HUNTER HILL DR & ARCHER LN,  TOWAMENCIN, 2020-01-24 @ 15:02:25, 2020-01-24 , 15:02:25
ROBODA BLVD & SPRINGER TOWN RD; UPPER PROVIDENCE; 2020-01-24 @ 15:04:08,NA,Traffic: VEHICLE ACCIDENT,ROBODA BLVD & SPRINGER TOWN RD, UPPER PROVIDENCE, 2020-01-24 @ 15:04:08, 2020-01-24 , 15:04:08
CRICKET AVE & WOODROW AVE;  ABINGTON; 2020-01-24 @ 15:07:46,19038,EMS: ASSAULT VICTIM,CRICKET AVE & WOODROW AVE,  ABINGTON, 2020-01-24 @ 15:07:46, 2020-01-24 , 15:07:46
KING ST & N YORK ST;  POTTSTOWN; 2020-01-24 @ 15:09:38,19464,EMS: FEVER,KING ST & N YORK ST,  POTTSTOWN, 2020-01-24 @ 15:09:38, 2020-01-24 , 15:09:38
COUNTY LINE RD & THOMAS AVE; LOWER MERION; 2020-01-24 @ 15:08:56,19010,Traffic: VEHICLE ACCIDENT,COUNTY LINE RD & THOMAS AVE, LOWER MERION, 2020-01-24 @ 15:08:56, 2020-01-24 , 15:08:56
WELSH RD AND WALTON RD;  LOWER MORELAND; 2020-01-24 @ 15:12:07,19006,EMS: NAUSEA/VOMITING,WELSH RD & WALTON RD,  LOWER MORELAND, 2020-01-24 @ 15:12:07, 2020-01-24 , 15:12:07
OLD LANCASTER RD & SUMMIT GROVE AVE;  LOWER MERION; 2020-01-24 @ 15:19:07,19010,EMS: CARDIAC EMERGENCY,OLD LANCASTER RD & SUMMIT GROVE AVE,  LOWER MERION, 2020-01-24 @ 15:19:07, 2020-01-24 , 15:19:07
WALNUT ST & E MARSHALL ST; NORRISTOWN; 2020-01-24 @ 15:16:47,19401,Fire: TRASH/DUMPSTER FIRE,WALNUT ST & E MARSHALL ST, NORRISTOWN, 2020-01-24 @ 15:16:47, 2020-01-24 , 15:16:47
REDWOOD DR & PALMETTO DR;  UPPER PROVIDENCE; 2020-01-24 @ 15:22:03,19426,EMS: OVERDOSE,REDWOOD DR & PALMETTO DR,  UPPER PROVIDENCE, 2020-01-24 @ 15:22:03, 2020-01-24 , 15:22:03
DEKALB ST & BORO LINE RD; UPPER MERION; 2020-01-24 @ 15:23:47,19406,Traffic: DISABLED VEHICLE,DEKALB ST & BORO LINE RD, UPPER MERION, 2020-01-24 @ 15:23:47, 2020-01-24 , 15:23:47
HUNTINGDON PIKE & OLD HUNTINGDON PIKE; ABINGTON; 2020-01-24 @ 15:22:38,19046,Traffic: VEHICLE ACCIDENT,HUNTINGDON PIKE & OLD HUNTINGDON PIKE, ABINGTON, 2020-01-24 @ 15:22:38, 2020-01-24 , 15:22:38
RT309 EXPY & RAMP RT73 TO RT309 NB; WHITEMARSH; 2020-01-24 @ 15:26:23,NA,Traffic: ROAD OBSTRUCTION,RT309 EXPY & RAMP RT73 TO RT309 NB, WHITEMARSH, 2020-01-24 @ 15:26:23, 2020-01-24 , 15:26:23
RT309 EXPY & RAMP RT73 TO RT309 NB; WHITEMARSH; 2020-01-24 @ 15:26:28,NA,Traffic: ROAD OBSTRUCTION,RT309 EXPY & RAMP RT73 TO RT309 NB, WHITEMARSH, 2020-01-24 @ 15:26:28, 2020-01-24 , 15:26:28
BLUEROUTE  & CHEMICAL RD; PLYMOUTH; 2020-01-24 @ 15:34:19,19462,Traffic: DISABLED VEHICLE,BLUEROUTE  & CHEMICAL RD, PLYMOUTH, 2020-01-24 @ 15:34:19, 2020-01-24 , 15:34:19
HANOVER ST & W HOFFECKER RD; CHESTER COUNTY; 2020-01-24 @ 15:37:44,NA,Traffic: DISABLED VEHICLE,HANOVER ST & W HOFFECKER RD, CHESTER COUNTY, 2020-01-24 @ 15:37:44, 2020-01-24 , 15:37:44
SCHUYLKILL EXPY & RAMP I476 SB TO I76 EB; WEST CONSHOHOCKEN; 2020-01-24 @ 15:40:59,NA,Traffic: DISABLED VEHICLE,SCHUYLKILL EXPY & RAMP I476 SB TO I76 EB, WEST CONSHOHOCKEN, 2020-01-24 @ 15:40:59, 2020-01-24 , 15:40:59
HIGH ST & S FRANKLIN ST;  POTTSTOWN; 2020-01-24 @ 15:43:08,19464,EMS: ASSAULT VICTIM,HIGH ST & S FRANKLIN ST,  POTTSTOWN, 2020-01-24 @ 15:43:08, 2020-01-24 , 15:43:08
BAXTER DR & HUDSON DR; UPPER PROVIDENCE; 2020-01-24 @ 15:43:46,19460,Fire: FIRE INVESTIGATION,BAXTER DR & HUDSON DR, UPPER PROVIDENCE, 2020-01-24 @ 15:43:46, 2020-01-24 , 15:43:46
MAPLE AVE & E BROAD ST;  HATFIELD BORO; 2020-01-24 @ 15:49:14,NA,EMS: FALL VICTIM,MAPLE AVE & E BROAD ST,  HATFIELD BORO, 2020-01-24 @ 15:49:14, 2020-01-24 , 15:49:14
PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; 2020-01-24 @ 15:50:11,19422,EMS: HEMORRHAGING,PENLLYN BLUE BELL PIKE & VILLAGE CIR,  WHITPAIN, 2020-01-24 @ 15:50:11, 2020-01-24 , 15:50:11
OAK ST & MAPLE ALY;  NORRISTOWN; 2020-01-24 @ 15:46:39,19401,EMS: RESPIRATORY EMERGENCY,OAK ST & MAPLE ALY,  NORRISTOWN, 2020-01-24 @ 15:46:39, 2020-01-24 , 15:46:39
KNAPP RD & WITCHWOOD DR; MONTGOMERY; 2020-01-24 @ 15:50:29,19454,Traffic: VEHICLE ACCIDENT,KNAPP RD & WITCHWOOD DR, MONTGOMERY, 2020-01-24 @ 15:50:29, 2020-01-24 , 15:50:29
COWPATH RD & THOMAS DR; FRANCONIA; 2020-01-24 @ 15:57:32,18969,Fire: GASODOR/LEAK,COWPATH RD & THOMAS DR, FRANCONIA, 2020-01-24 @ 15:57:32, 2020-01-24 , 15:57:32
RANDOM RD & WESTIN RD;  BERKS COUNTY; 2020-01-24 @ 15:58:46,19518,EMS: DIZZINESS,RANDOM RD & WESTIN RD,  BERKS COUNTY, 2020-01-24 @ 15:58:46, 2020-01-24 , 15:58:46
COLONIAL AVE & PEMBROOKE RD; WEST NORRITON; 2020-01-24 @ 15:59:35,19403,Traffic: HAZARDOUS ROAD CONDITIONS,COLONIAL AVE & PEMBROOKE RD, WEST NORRITON, 2020-01-24 @ 15:59:35, 2020-01-24 , 15:59:35
E HANCOCK ST & S BROAD ST; LANSDALE; 2020-01-24 @ 16:04:42,19446,Traffic: VEHICLE ACCIDENT,E HANCOCK ST & S BROAD ST, LANSDALE, 2020-01-24 @ 16:04:42, 2020-01-24 , 16:04:42
AIRY ST & BUTTONWOOD ST;  NORRISTOWN; 2020-01-24 @ 16:09:39,19401,EMS: ALTERED MENTAL STATUS,AIRY ST & BUTTONWOOD ST,  NORRISTOWN, 2020-01-24 @ 16:09:39, 2020-01-24 , 16:09:39
COWPATH RD & ORVILLA RD; HATFIELD TOWNSHIP; 2020-01-24 @ 16:07:58,19440,Traffic: VEHICLE ACCIDENT,COWPATH RD & ORVILLA RD, HATFIELD TOWNSHIP, 2020-01-24 @ 16:07:58, 2020-01-24 , 16:07:58
GERMANTOWN PIKE & KRIEBEL MILL RD; WORCESTER; 2020-01-24 @ 16:07:36,19426,Traffic: VEHICLE ACCIDENT,GERMANTOWN PIKE & KRIEBEL MILL RD, WORCESTER, 2020-01-24 @ 16:07:36, 2020-01-24 , 16:07:36
E HANCOCK ST;  LANSDALE; 2020-01-24 @ 16:12:42,19446,EMS: VEHICLE ACCIDENT,E HANCOCK ST,  LANSDALE, 2020-01-24 @ 16:12:42, 2020-01-24 , 16:12:42
BROAD ST & E HANCOCK ST;  LANSDALE; 2020-01-24 @ 16:12:42,19446,EMS: VEHICLE ACCIDENT,BROAD ST & E HANCOCK ST,  LANSDALE, 2020-01-24 @ 16:12:42, 2020-01-24 , 16:12:42
PLYMOUTH RD;  PLYMOUTH; 2020-01-24 @ 16:14:32,19462,EMS: VEHICLE ACCIDENT,PLYMOUTH RD,  PLYMOUTH, 2020-01-24 @ 16:14:32, 2020-01-24 , 16:14:32
BROAD ST & E HANCOCK ST; LANSDALE; 2020-01-24 @ 16:04:42,19446,Traffic: VEHICLE ACCIDENT,BROAD ST & E HANCOCK ST, LANSDALE, 2020-01-24 @ 16:04:42, 2020-01-24 , 16:04:42
PLYMOUTH RD & MONTEREY DR; PLYMOUTH; 2020-01-24 @ 16:14:18,19462,Traffic: VEHICLE ACCIDENT,PLYMOUTH RD & MONTEREY DR, PLYMOUTH, 2020-01-24 @ 16:14:18, 2020-01-24 , 16:14:18
COWPATH RD & ORVILLA RD;  HATFIELD TOWNSHIP; 2020-01-24 @ 16:17:05,19440,EMS: VEHICLE ACCIDENT,COWPATH RD & ORVILLA RD,  HATFIELD TOWNSHIP, 2020-01-24 @ 16:17:05, 2020-01-24 , 16:17:05
HUNTINGDON PIKE & OLD HUNTINGDON PIKE;  ABINGTON; 2020-01-24 @ 16:19:28,19046,EMS: SUBJECT IN PAIN,HUNTINGDON PIKE & OLD HUNTINGDON PIKE,  ABINGTON, 2020-01-24 @ 16:19:28, 2020-01-24 , 16:19:28
WILLIAMS LN AND S YORK RD; HATBORO; 2020-01-24 @ 16:16:23,19040,Traffic: VEHICLE ACCIDENT,WILLIAMS LN & S YORK RD, HATBORO, 2020-01-24 @ 16:16:23, 2020-01-24 , 16:16:23
BETHLEHEM PIKE & TAYLOR RD;  MONTGOMERY; 2020-01-24 @ 16:24:45,19446,EMS: DIABETIC EMERGENCY,BETHLEHEM PIKE & TAYLOR RD,  MONTGOMERY, 2020-01-24 @ 16:24:45, 2020-01-24 , 16:24:45
BROAD ST & HECTOR ALY;  LANSDALE; 2020-01-24 @ 16:23:39,19446,EMS: SEIZURES,BROAD ST & HECTOR ALY,  LANSDALE, 2020-01-24 @ 16:23:39, 2020-01-24 , 16:23:39
LANSDALE AVE & E 7TH ST;  LANSDALE; 2020-01-24 @ 16:28:55,19446,EMS: ALTERED MENTAL STATUS,LANSDALE AVE & E 7TH ST,  LANSDALE, 2020-01-24 @ 16:28:55, 2020-01-24 , 16:28:55
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-24 @ 16:40:32,19403,EMS: HEMORRHAGING,SHANNONDELL DR & SHANNONDELL BLVD,  LOWER PROVIDENCE, 2020-01-24 @ 16:40:32, 2020-01-24 , 16:40:32
FELTON RD & W GERMANTOWN PIKE; EAST NORRITON; 2020-01-24 @ 16:41:07,19403,Fire: FIRE ALARM,FELTON RD & W GERMANTOWN PIKE, EAST NORRITON, 2020-01-24 @ 16:41:07, 2020-01-24 , 16:41:07
HARVARD RD & E DARTMOUTH RD; LOWER MERION; 2020-01-24 @ 16:42:26,19004,Fire: APPLIANCE FIRE,HARVARD RD & E DARTMOUTH RD, LOWER MERION, 2020-01-24 @ 16:42:26, 2020-01-24 , 16:42:26
WARING RD & CADWALADER AVE; CHELTENHAM; 2020-01-24 @ 16:41:39,19027,Traffic: VEHICLE ACCIDENT,WARING RD & CADWALADER AVE, CHELTENHAM, 2020-01-24 @ 16:41:39, 2020-01-24 , 16:41:39
GENERAL WASHINGTON AVE & BOULEVARD OF THE GENERALS; WEST NORRITON; 2020-01-24 @ 16:41:30,19403,Traffic: VEHICLE ACCIDENT,GENERAL WASHINGTON AVE & BOULEVARD OF THE GENERALS, WEST NORRITON, 2020-01-24 @ 16:41:30, 2020-01-24 , 16:41:30
RT309 EXPY & RAMP RT73 TO RT309 NB; WHITEMARSH; 2020-01-24 @ 16:47:46,NA,Traffic: ROAD OBSTRUCTION,RT309 EXPY & RAMP RT73 TO RT309 NB, WHITEMARSH, 2020-01-24 @ 16:47:46, 2020-01-24 , 16:47:46
SUMNEYTOWN PIKE & FORTY FOOT RD;  TOWAMENCIN; 2020-01-24 @ 16:53:06,19438,EMS: FRACTURE,SUMNEYTOWN PIKE & FORTY FOOT RD,  TOWAMENCIN, 2020-01-24 @ 16:53:06, 2020-01-24 , 16:53:06
EASTON RD & MT VERNON DR; ABINGTON; 2020-01-24 @ 16:59:30,19038,Fire: FIRE ALARM,EASTON RD & MT VERNON DR, ABINGTON, 2020-01-24 @ 16:59:30, 2020-01-24 , 16:59:30
SUMNEYTOWN PIKE & FORTY FOOT RD; TOWAMENCIN; 2020-01-24 @ 17:08:59,19438,Fire: S/B AT HELICOPTER LANDING,SUMNEYTOWN PIKE & FORTY FOOT RD, TOWAMENCIN, 2020-01-24 @ 17:08:59, 2020-01-24 , 17:08:59
STANBRIDGE ST & W AIRY ST;  NORRISTOWN; 2020-01-24 @ 17:06:14,19401,EMS: OVERDOSE,STANBRIDGE ST & W AIRY ST,  NORRISTOWN, 2020-01-24 @ 17:06:14, 2020-01-24 , 17:06:14
GULPH RD AND LONG RD;  UPPER MERION; 2020-01-24 @ 17:10:43,19406,EMS: DEHYDRATION,GULPH RD & LONG RD,  UPPER MERION, 2020-01-24 @ 17:10:43, 2020-01-24 , 17:10:43
SWEETBRIAR CIR & LUKENS LN;  UPPER MERION; 2020-01-24 @ 17:15:49,19406,EMS: DIABETIC EMERGENCY,SWEETBRIAR CIR & LUKENS LN,  UPPER MERION, 2020-01-24 @ 17:15:49, 2020-01-24 , 17:15:49
OLD YORK RD & W CHURCH RD;  CHELTENHAM; 2020-01-24 @ 17:11:19,19027,EMS: MEDICAL ALERT ALARM,OLD YORK RD & W CHURCH RD,  CHELTENHAM, 2020-01-24 @ 17:11:19, 2020-01-24 , 17:11:19
WALNUT ST & S 4TH AVE;  ROYERSFORD; 2020-01-24 @ 17:18:04,19468,EMS: FALL VICTIM,WALNUT ST & S 4TH AVE,  ROYERSFORD, 2020-01-24 @ 17:18:04, 2020-01-24 , 17:18:04
HIGH ST AND RICE ST;  POTTSTOWN; 2020-01-24 @ 17:29:37,19464,EMS: UNKNOWN MEDICAL EMERGENCY,HIGH ST & RICE ST,  POTTSTOWN, 2020-01-24 @ 17:29:37, 2020-01-24 , 17:29:37
TERWOOD RD & BEAR BLVD;  UPPER MORELAND; 2020-01-24 @ 17:27:48,19090,EMS: CARDIAC ARREST,TERWOOD RD & BEAR BLVD,  UPPER MORELAND, 2020-01-24 @ 17:27:48, 2020-01-24 , 17:27:48
BUTTONWOOD ST & NAGLE RD; WEST POTTSGROVE; 2020-01-24 @ 17:28:44,19464,Fire: GASODOR/LEAK,BUTTONWOOD ST & NAGLE RD, WEST POTTSGROVE, 2020-01-24 @ 17:28:44, 2020-01-24 , 17:28:44
LINDEN ST & FAIRVIEW ST; WEST POTTSGROVE; 2020-01-24 @ 17:29:07,19464,Traffic: ROAD OBSTRUCTION,LINDEN ST & FAIRVIEW ST, WEST POTTSGROVE, 2020-01-24 @ 17:29:07, 2020-01-24 , 17:29:07
RIDGE PIKE & JOSHUA RD; WHITEMARSH; 2020-01-24 @ 17:38:51,19444,Traffic: DISABLED VEHICLE,RIDGE PIKE & JOSHUA RD, WHITEMARSH, 2020-01-24 @ 17:38:51, 2020-01-24 , 17:38:51
PENNSYLVANIA TPKE & RAMP I476 NB TO I276 EB; WHITEMARSH; 2020-01-24 @ 17:40:47,NA,Traffic: VEHICLE ACCIDENT,PENNSYLVANIA TPKE & RAMP I476 NB TO I276 EB, WHITEMARSH, 2020-01-24 @ 17:40:47, 2020-01-24 , 17:40:47
RT202 NB & S GULPH RD; UPPER MERION; 2020-01-24 @ 17:39:12,19406,Traffic: VEHICLE ACCIDENT,RT202 NB & S GULPH RD, UPPER MERION, 2020-01-24 @ 17:39:12, 2020-01-24 , 17:39:12
S GULPH RD & W CHURCH RD; UPPER MERION; 2020-01-24 @ 17:40:41,19406,Traffic: VEHICLE ACCIDENT,S GULPH RD & W CHURCH RD, UPPER MERION, 2020-01-24 @ 17:40:41, 2020-01-24 , 17:40:41
RT422  & RAMP RT29 TO RT422 WB; UPPER PROVIDENCE; 2020-01-24 @ 17:41:36,NA,Traffic: VEHICLE ACCIDENT,RT422  & RAMP RT29 TO RT422 WB, UPPER PROVIDENCE, 2020-01-24 @ 17:41:36, 2020-01-24 , 17:41:36
WYNNEWOOD RD & PENN RD; LOWER MERION; 2020-01-24 @ 17:44:28,19096,Fire: FIRE ALARM,WYNNEWOOD RD & PENN RD, LOWER MERION, 2020-01-24 @ 17:44:28, 2020-01-24 , 17:44:28
EGYPT RD & CRAWFORD RD; LOWER PROVIDENCE; 2020-01-24 @ 17:44:07,19403,Traffic: VEHICLE ACCIDENT,EGYPT RD & CRAWFORD RD, LOWER PROVIDENCE, 2020-01-24 @ 17:44:07, 2020-01-24 , 17:44:07
STANBRIDGE ST & JACKSON ST;  NORRISTOWN; 2020-01-24 @ 17:49:51,NA,EMS: DIZZINESS,STANBRIDGE ST & JACKSON ST,  NORRISTOWN, 2020-01-24 @ 17:49:51, 2020-01-24 , 17:49:51
CHELTENHAM AVE & CROMWELL RD; SPRINGFIELD; 2020-01-24 @ 17:47:44,19038,Traffic: VEHICLE ACCIDENT,CHELTENHAM AVE & CROMWELL RD, SPRINGFIELD, 2020-01-24 @ 17:47:44, 2020-01-24 , 17:47:44
MARSHALL ST & GEORGE ST;  NORRISTOWN; 2020-01-24 @ 17:53:16,19401,EMS: OVERDOSE,MARSHALL ST & GEORGE ST,  NORRISTOWN, 2020-01-24 @ 17:53:16, 2020-01-24 , 17:53:16
GLACOW;  NORRISTOWN; 2020-01-24 @ 17:51:36,19406,EMS: ABDOMINAL PAINS,GLACOW,  NORRISTOWN, 2020-01-24 @ 17:51:36, 2020-01-24 , 17:51:36
MONTGOMERY AVE & HIGH SCHOOL RD; CHELTENHAM; 2020-01-24 @ 17:50:59,19027,Traffic: VEHICLE ACCIDENT,MONTGOMERY AVE & HIGH SCHOOL RD, CHELTENHAM, 2020-01-24 @ 17:50:59, 2020-01-24 , 17:50:59
LOCUST ST & HAYDEN ALY;  NORRISTOWN; 2020-01-24 @ 17:55:53,19401,EMS: OVERDOSE,LOCUST ST & HAYDEN ALY,  NORRISTOWN, 2020-01-24 @ 17:55:53, 2020-01-24 , 17:55:53
SANDY HILL RD & TERRACE RD;  PLYMOUTH; 2020-01-24 @ 17:55:14,19462,EMS: VEHICLE ACCIDENT,SANDY HILL RD & TERRACE RD,  PLYMOUTH, 2020-01-24 @ 17:55:14, 2020-01-24 , 17:55:14
GLASGOW ST & W WALNUT ST;  POTTSTOWN; 2020-01-24 @ 17:51:36,19464,EMS: ABDOMINAL PAINS,GLASGOW ST & W WALNUT ST,  POTTSTOWN, 2020-01-24 @ 17:51:36, 2020-01-24 , 17:51:36
AIRY ST & HIGH ALY;  NORRISTOWN; 2020-01-24 @ 17:53:16,19401,EMS: OVERDOSE,AIRY ST & HIGH ALY,  NORRISTOWN, 2020-01-24 @ 17:53:16, 2020-01-24 , 17:53:16
BLAKER DR & HAMILTON RD;  EAST GREENVILLE; 2020-01-24 @ 17:54:49,18041,EMS: RESPIRATORY EMERGENCY,BLAKER DR & HAMILTON RD,  EAST GREENVILLE, 2020-01-24 @ 17:54:49, 2020-01-24 , 17:54:49
S TOWNSHIP LINE RD & BUCKWALTER RD; LIMERICK; 2020-01-24 @ 17:55:01,19468,Traffic: DISABLED VEHICLE,S TOWNSHIP LINE RD & BUCKWALTER RD, LIMERICK, 2020-01-24 @ 17:55:01, 2020-01-24 , 17:55:01
